Species,Source,Date,Location,sample,BioSample,Estado,Região
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216055.2,SAMN00254327,BA,Nordeste
Escherichia coli,,1990.0,Brazil,GCA_000316425.1,SAMN01041333,,
Vibrio cholerae,patient with cholera-like diarrhea,1991.0,,GCA_000223095.2,SAMN02470783,,
Acinetobacter bereziniae,Rectal Swab,2019.0,Brazil,GCA_036761135.1,SAMN39408214,,
Acinetobacter bereziniae,Endotracheal aspirate,2014.0,"Londrina, PR",GCA_003670255.1,SAMN09907131,PR,Sul
Acinetobacter bereziniae,blood,2013.0,"Sao Paulo, Botucatu",GCA_006334885.1,SAMN10963611,SP,Sul
Acinetobacter bereziniae,blood,2014.0,"Sao Paulo, Botucatu",GCA_006334895.1,SAMN10963612,SP,Sul
Salmonella enterica,feces,2018.0,Brazil,GCA_024700995.1,SAMN14642250,,
Salmonella enterica,Biological material,1995.0,Brazil,GCA_024701035.1,SAMN14642248,,
Mycobacteroides abscessus,patient subjected to laparoscopic cholecystectomy,2005.0,Instituto Evandro Chagas Bel�m PA Brazil,GCF_000363915.2,SAMN02471375,PA,Norte
Acinetobacter ursingii,rectal swab,2014.0,Sao Paulo,,SAMN43259723,SP,Sul
Vibrio cholerae,stool,1992.0,Brazil,GCA_000348045.1,SAMN00989305,,
Vibrio cholerae,stool,1978.0,Brazil,GCA_000348065.1,SAMN00989311,,
Neisseria meningitidis,disease case,1989.0,Brazil,GCA_000327825.2,SAMN01055159,,
Neisseria meningitidis,disease case,2004.0,Brazil,GCA_000328125.2,SAMN01055161,,
Neisseria meningitidis,disease case,1988.0,Brazil,GCA_000327845.2,SAMN01055162,,
Neisseria meningitidis,disease case,2004.0,Brazil,GCA_000327865.2,SAMN01055163,,
Aeromonas australiensis,fecal sample,2004.0,Brazil,GCA_021538905.1,SAMN10473215,,
Escherichia coli,stool,1998.0,Envira,GCA_000355215.1,SAMN00829025,AM,Norte
Escherichia coli,stool,1998.0,Envira,GCA_000355195.1,SAMN00829717,AM,Norte
Escherichia coli,stool,1998.0,Brazil,GCA_000355235.1,SAMN00829297,,
Escherichia coli,stool,1998.0,Brazil,GCA_000355255.1,SAMN00829299,,
Klebsiella pneumoniae,blood,2009.0,Brazil,GCA_000512165.1,SAMN02641520,,
Klebsiella michiganensis,blood,2024.0,Sao Paulo,GCA_041901425.1,SAMN43428189,SP,Sul
Klebsiella michiganensis,blood,2019.0,Brazil,GCA_023093655.1,SAMN27549421,,
Klebsiella michiganensis,Tracheal secretion,2021.0,Campinas,GCA_026223635.2,SAMN30807003,SP,Sul
Neisseria meningitidis,disease case,1975.0,Brazil,GCA_000386205.2,SAMN01780075,,
Neisseria meningitidis,disease case,1975.0,Brazil,GCA_000386225.2,SAMN01780076,,
Neisseria meningitidis,disease case,1973.0,Brazil,GCA_000386745.2,SAMN01780107,,
Neisseria meningitidis,disease case,1973.0,Brazil,GCA_000386765.2,SAMN01780108,,
Aeromonas veronii,feces,2007.0,Brazil,GCA_003859745.1,SAMN10289379,,
Klebsiella sp.,blood,2016.0,Rio de Janeiro,GCA_018224045.1,SAMN18524141,RJ,Sudeste
Leptospira sp.,Homo sapiens,,Salvador,GCA_000306435.2,SAMN02436391,BA,Nordeste
Leptospira sp.,Homo sapiens,,Camacari,GCA_000346675.1,SAMN01886732,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Mata de Sao Joao,GCA_000306135.2,SAMN02436487,BA,Nordeste
Leptospira noguchii,Homo sapiens,,Pelotas,GCA_000350585.1,SAMN01162017,RS,Sul
Acinetobacter courvalinii,Conjunctiva,1990.0,Brazil,GCA_000369605.1,SAMN01087861,,
Leptospira noguchii,Homo sapiens,,Pelotas,GCA_000346655.1,SAMN01801600,RS,Sul
Bordetella trematum,ulcer tissue,2016.0,Brazil,GCA_011463375.1,SAMN10962613,,
Blastopirellula marina,soil from Brazilian tropical mangrove,2016.0,Sao Paulo,GCA_002967765.1,SAMN08581172,SP,Sul
Leuconostoc mesenteroides,,2016.0,Belo Horizonte,GCA_030668605.1,SAMN36793374,MG,Sudeste
Leuconostoc mesenteroides,,2016.0,Belo Horizonte,GCA_031192385.1,SAMN36793375,MG,Sudeste
Pediococcus pentosaceus,,2019.0,Sao Paulo,GCA_028067445.1,SAMN27515023,SP,Sul
Mycobacterium fragae,sputum,2010.0,Brazil,GCA_020622285.1,SAMN04101982,,
Mycobacterium fragae,sputum of a Brazilian patient with a lung infection,2010.0,"northeastern Brazil, Cear State",GCA_025823245.1,SAMN15568920,CE,Nordeste
Mycobacterium fragae,sputum,,Ceara State,GCA_002102185.1,SAMN04216927,CE,Nordeste
Staphylococcus aureus,blood of a 35 year-old male,,Sao Paulo,GCF_000647855.2,SAMN02732485,SP,Sul
Staphylococcus aureus,milk sample,2012.0,Vitoria da Conquista,GCF_001921665.1,SAMN06077114,,
Staphylococcus aureus,Nasal sample,2012.0,Vitoria da Conquista,GCF_001921685.1,SAMN06077116,,
Staphylococcus aureus,Nasal sample,2012.0,Vitoria da Conquista,GCF_001921695.1,SAMN06077115,,
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260005.1,SAMN05721738,,
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260015.1,SAMN05721737,,
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260065.1,SAMN05721739,,
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260085.1,SAMN05721740,,
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267625.1,SAMN03940750,SP,Sul
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267645.1,SAMN03940752,SP,Sul
Staphylococcus aureus,Blood,2012.0,Porto Alegre,GCA_002267665.1,SAMN03940754,RS,Sul
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCA_002267685.1,SAMN03940749,SP,Sul
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267695.1,SAMN03940751,SP,Sul
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267705.1,SAMN03940753,SP,Sul
Staphylococcus aureus,Blood,2012.0,Porto Alegre,GCA_002267965.1,SAMN03944932,RS,Sul
Staphylococcus aureus,Blood,2012.0,Porto Alegre,GCA_002267995.1,SAMN03944931,RS,Sul
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCA_002268195.1,SAMN03944930,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734305.1,SAMN03766003,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734325.1,SAMN03766017,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734345.1,SAMN03766018,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734385.1,SAMN03766021,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734405.1,SAMN03766023,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734415.1,SAMN03766024,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734455.1,SAMN03766006,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734425.1,SAMN03766025,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734485.1,SAMN03766020,SP,Sul
Staphylococcus aureus,right femur,2009.0,Belo Horizonte,GCA_002736785.1,SAMN03115000,MG,Sudeste
Staphylococcus aureus,blood,2009.0,Belo Horizonte,GCA_002736795.1,SAMN03114999,MG,Sudeste
Staphylococcus aureus,nares,2009.0,Belo Horizonte,GCA_002736865.1,SAMN03115003,MG,Sudeste
Staphylococcus aureus,blood,2009.0,Belo Horizonte,GCA_002736805.1,SAMN03115001,MG,Sudeste
Staphylococcus aureus,nares,2009.0,Belo Horizonte,GCA_002736815.1,SAMN03115002,MG,Sudeste
Staphylococcus aureus,nares,2009.0,Belo Horizonte,GCA_002736875.1,SAMN03115004,MG,Sudeste
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734315.1,SAMN03766016,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734495.1,SAMN03766019,SP,Sul
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734505.1,SAMN03766022,SP,Sul
Staphylococcus aureus,Blood stream,2016.0,"Parana, Londrina",GCA_002798125.1,SAMN07967050,PR,Sul
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCA_002887305.1,SAMN04346834,SP,Sul
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCA_002887495.1,SAMN04346842,SP,Sul
Staphylococcus aureus,wound fluid,2015.0,Rio de Janeiro,GCA_003010475.1,SAMN08634544,RJ,Sudeste
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003095355.1,SAMN08977784,,
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003095335.1,SAMN08977786,,
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003095315.1,SAMN08977788,,
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003095235.1,SAMN08977783,,
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003076115.1,SAMN08977782,,
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003075875.1,SAMN08977785,,
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003075675.1,SAMN08977787,,
Staphylococcus aureus,Tracheal secretion,2014.0,Rio de Janeiro,GCA_003031485.1,SAMN06480776,RJ,Sudeste
Staphylococcus aureus,nasal swab,2014.0,Rio de Janeiro,GCA_003031465.1,SAMN06644991,RJ,Sudeste
Staphylococcus aureus,Blood,2015.0,Rio de Janeiro,GCA_003194405.1,SAMN06560523,RJ,Sudeste
Staphylococcus aureus,sputun of patients with Cystic Fibrosis,2010.0,Brazil,GCA_001726145.1,SAMN05213228,,
Staphylococcus aureus,inguinal swab,2011.0,Sao Paulo,GCA_009857865.1,SAMN13700069,SP,Sul
Staphylococcus aureus,nasal swab,2016.0,Sao Paulo,GCA_011812685.1,SAMN13700073,SP,Sul
Staphylococcus aureus,nasal swab,2011.0,Sao Paulo,GCA_011812665.1,SAMN13700071,SP,Sul
Staphylococcus aureus,nasal swab,2010.0,Sao Paulo,GCA_011812675.1,SAMN13700070,SP,Sul
Staphylococcus aureus,nasal swab,2016.0,Sao Paulo,GCA_011812695.1,SAMN13700074,SP,Sul
Staphylococcus aureus,blood,2003.0,Sao Paulo,GCA_011812705.1,SAMN13700072,SP,Sul
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276815.1,SAMN13700075,SP,Sul
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276725.1,SAMN13700081,SP,Sul
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276865.1,SAMN13700076,SP,Sul
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276835.1,SAMN13700078,SP,Sul
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276855.1,SAMN13700080,SP,Sul
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276845.1,SAMN13700077,SP,Sul
Staphylococcus aureus,blood,2018.0,Sao Paulo,GCA_012955985.1,SAMN14595380,SP,Sul
Staphylococcus aureus,blood,2017.0,Sao Paulo,GCA_012956015.1,SAMN14595384,SP,Sul
Staphylococcus aureus,nasal swab,2018.0,Sao Paulo,GCA_012956845.1,SAMN14595348,SP,Sul
Staphylococcus aureus,nasal swab,2018.0,Sao Paulo,GCA_012956825.1,SAMN14595347,SP,Sul
Staphylococcus aureus,blood,2017.0,Sao Paulo,GCA_012956875.1,SAMN14595385,SP,Sul
Staphylococcus aureus,blood,2017.0,Sao Paulo,GCA_012956965.1,SAMN14595381,SP,Sul
Staphylococcus aureus,blood,2017.0,Sao Paulo,GCA_012956945.1,SAMN14595382,SP,Sul
Staphylococcus aureus,nasal swab,2018.0,Sao Paulo,GCA_012956925.1,SAMN14595351,SP,Sul
Staphylococcus aureus,blood,2018.0,Sao Paulo,GCA_012956975.1,SAMN14595379,SP,Sul
Staphylococcus aureus,blood,2018.0,Sao Paulo,GCA_012955995.1,SAMN14595378,SP,Sul
Staphylococcus aureus,HA-MRSA blood clinical site,2005.0,Rio de Janeiro,GCA_013415955.1,SAMN13025398,RJ,Sudeste
Staphylococcus aureus,nasal,2014.0,Rio de Janeiro,GCA_013423445.1,SAMN13170651,RJ,Sudeste
Staphylococcus aureus,nasal,2014.0,Rio de Janeiro,GCA_013423465.1,SAMN13191045,RJ,Sudeste
Staphylococcus aureus,nasal,2014.0,Rio de Janeiro,GCA_013423475.1,SAMN13171054,RJ,Sudeste
Staphylococcus aureus,blood,2014.0,Rio de Janeiro,GCA_013423545.1,SAMN13191051,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_013423605.1,SAMN13191062,RJ,Sudeste
Staphylococcus aureus,nasal,2015.0,Rio de Janeiro,GCA_013423575.1,SAMN13191190,RJ,Sudeste
Staphylococcus aureus,HA-MRSA blood clinical site,2005.0,Rio de Janeiro,GCA_013426235.1,SAMN13028838,RJ,Sudeste
Staphylococcus aureus,,2015.0,Rio de Janeiro,GCA_017355805.1,SAMN16428190,RJ,Sudeste
Staphylococcus aureus,,2014.0,Brazil,GCF_000855655.1,SAMN03287942,,
Staphylococcus aureus,biopsy of vertebra,2010.0,Florianopolis,GCF_000969225.1,SAMN03444404,SC,Sul
Staphylococcus aureus,blood,2017.0,Brazil,GCA_024790455.1,SAMN12661330,,
Staphylococcus aureus,blood,2012.0,Sao Paulo,GCA_001278745.1,SAMN03092273,SP,Sul
Staphylococcus aureus,orthopedic device (ODRI) sonication fluid,,Sao Paulo,GCA_020682965.1,SAMN19668993,SP,Sul
Staphylococcus aureus,orthopedic device (ODRI) sonication fluid,,Sao Paulo,GCA_020682945.1,SAMN19668991,SP,Sul
Staphylococcus aureus,orthopedic device (ODRI) sonication fluid,,Sao Paulo,GCA_020682925.1,SAMN19668992,SP,Sul
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCF_001306505.1,SAMN03092872,SP,Sul
Staphylococcus aureus,blood,2012.0,Sao Paulo,GCF_001306525.1,SAMN03093451,SP,Sul
Staphylococcus aureus,skin,2018.0,"Volta Redonda, Rio de Janeiro",GCA_030005575.1,SAMN33005588,,
Staphylococcus aureus,blood culture,2014.0,Brazil,GCA_031317555.1,SAMN29492482,,
Staphylococcus aureus,blood culture,2003.0,Brazil,GCA_031317575.1,SAMN29492076,,
Staphylococcus aureus,blood culture,2014.0,Brazil,GCA_031317635.1,SAMN29492626,,
Staphylococcus aureus,nares,2011.0,Niteroi,GCA_001411605.1,SAMN03988633,RJ,Sudeste
Staphylococcus aureus,nares,2011.0,Niteroi,GCA_001411615.1,SAMN03988826,RJ,Sudeste
Staphylococcus aureus,nares,2011.0,Niteroi,GCA_001411635.1,SAMN03968919,RJ,Sudeste
Staphylococcus aureus,nares,2011.0,Niteroi,GCF_001411685.1,SAMN03988862,RJ,Sudeste
Staphylococcus aureus,skin,2018.0,Rio de Janeiro,GCA_033022935.1,SAMN35990037,RJ,Sudeste
Staphylococcus aureus,nasopharyngeal swab,2020.0,Sao Paulo,GCA_035727165.1,SAMN17038141,SP,Sul
Staphylococcus aureus,tracheal aspirate,2021.0,Sao Jose do Rio Preto,GCA_039839875.1,SAMN41239092,SP,Sul
Staphylococcus aureus,blood,2016.0,Florianopolis,GCA_041537985.1,SAMN38645476,SC,Sul
Staphylococcus epidermidis,blood,2017.0,Sao Paulo,GCA_002799425.1,SAMN08095616,SP,Sul
Staphylococcus epidermidis,blood,2017.0,Sao Paulo,GCA_002799485.1,SAMN08095611,SP,Sul
Staphylococcus epidermidis,blood,2016.0,Sao Paulo,GCA_002799505.1,SAMN08095612,SP,Sul
Staphylococcus epidermidis,blood,2017.0,Sao Paulo,GCA_002799565.1,SAMN08095617,SP,Sul
Staphylococcus epidermidis,Candida albicans SC5314 culture,2017.0,Brazil,GCA_003119275.1,SAMN08555375,,
Staphylococcus epidermidis,orthopedic device (ODRI) sonication fluid,,Sao Paulo,GCA_020682885.1,SAMN19668995,SP,Sul
Staphylococcus epidermidis,orthopedic device (ODRI) sonication fluid,,Sao Paulo,GCA_020682905.1,SAMN19668994,SP,Sul
Staphylococcus epidermidis,,2022.0,Sao Paulo,GCA_029025685.1,SAMN33439135,SP,Sul
Staphylococcus epidermidis,skin,2018.0,Rio de Janeiro,GCA_033022995.1,SAMN35990038,RJ,Sudeste
Staphylococcus haemolyticus,blood,2008.0,Brazil,GCA_021296555.1,SAMN13881227,,
Staphylococcus haemolyticus,orthopedic device (ODRI) sonication fluid,,Sao Paulo,GCA_020682825.1,SAMN19668996,SP,Sul
Staphylococcus haemolyticus,orthopedic device (ODRI) sonication fluid,,Sao Paulo,GCA_020682865.1,SAMN19668997,SP,Sul
Staphylococcus haemolyticus,blood,2018.0,Roraima,GCA_034078705.1,SAMN35138842,RR,Norte
Staphylococcus haemolyticus,blood,2006.0,Brazil,GCA_043352415.1,SAMN16273808,,
Staphylococcus haemolyticus,blood,2012.0,Sao Paulo,GCF_000972725.1,SAMN03436301,SP,Sul
Staphylococcus haemolyticus,blood,2017.0,Sao Paulo,GCA_002799545.1,SAMN08095614,SP,Sul
Staphylococcus haemolyticus,nasal swab,2017.0,Sao Paulo,GCA_012277175.1,SAMN13700079,SP,Sul
Achromobacter insuavis,sputum from cystic fibrosis patients,2008.0,Rio de Janeiro,GCA_003096315.1,SAMN08981682,RJ,Sudeste
Achromobacter dolens,sputum from cystic fibrosis patients,2005.0,Rio de Janeiro,GCA_003096295.1,SAMN08981680,RJ,Sudeste
Staphylococcus hominis,blood,2017.0,Sao Paulo,GCA_002799365.1,SAMN08095615,SP,Sul
Staphylococcus hominis,blood,2017.0,Sao Paulo,GCA_002799525.1,SAMN08095613,SP,Sul
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343535.1,SAMN01920621,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,,,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador Brazil,GCA_000343085.1,SAMN01920569,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000342825.1,SAMN01920570,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000342665.1,SAMN01920633,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000342845.1,SAMN01919804,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343185.1,SAMN01920115,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador Brazil,GCA_000343595.1,SAMN01920617,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343575.1,SAMN01920591,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343615.1,SAMN01920618,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343635.1,SAMN01920604,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343205.1,SAMN01920565,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343655.1,SAMN01920566,BA,Nordeste
Leptospira interrogans,Homo sapiens,,SimÂ¿Â¿Â¿Â¿es Filho,GCA_000342965.1,SAMN01920630,,
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343245.1,SAMN01920118,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343225.1,SAMN01920631,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343675.1,SAMN01920121,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343695.1,SAMN01920619,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Itaparica,GCA_000343715.1,SAMN01920587,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343735.1,SAMN01920588,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343755.1,SAMN01920589,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343775.1,SAMN01920590,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343795.1,SAMN01920124,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000342705.1,SAMN01920632,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343265.1,SAMN01920127,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343285.1,SAMN01920567,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343835.1,SAMN01920568,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343165.1,SAMN01920605,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000342745.1,SAMN01920596,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343125.1,SAMN01920130,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343145.1,SAMN01919803,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000343815.1,SAMN01920620,BA,Nordeste
Mammaliicoccus sciuri,orthopedic device (ODRI) sonication fluid,,Sao Paulo,GCA_020682805.1,SAMN19668999,SP,Sul
Enterobacter hormaechei,rectal swab,2020.0,Brazil,GCA_023060195.1,SAMN27549448,,
Enterobacter hormaechei,blood,2020.0,Brazil,GCA_023060285.1,SAMN27549431,,
Enterobacter hormaechei,urine,2020.0,Brazil,GCA_023061085.1,SAMN27549438,,
Enterobacter hormaechei,blood,2019.0,Brazil,GCA_023572585.1,SAMN27549410,,
Enterobacter hormaechei,Transtracheal aspirate,2014.0,Sao Paulo,GCA_014931695.1,SAMN14828832,SP,Sul
Streptococcus salivarius,"Oral cavity, infant (2 months age)",2013.0,Brazil,GCF_001657895.1,SAMN04931570,,
Streptococcus salivarius,,2013.0,Brazil,GCF_001659645.1,SAMN04931542,,
Streptococcus salivarius,,2013.0,Brazil,GCF_001659655.1,SAMN04931506,,
Streptococcus salivarius,"Oral cavity, infant (2 months of age)",2013.0,Brazil,GCF_001906885.1,SAMN04933251,,
Streptococcus salivarius,"oral cavity, infant (13 months of age)",2013.0,Brazil,GCF_001906895.1,SAMN04933252,,
Streptococcus salivarius,"oral cavity, infant (13 months of age)",2013.0,Brazil,GCF_001906915.1,SAMN04933464,,
Streptococcus salivarius,"oral cavity, infant (10 months of age)",2013.0,Brazil,GCF_001906995.1,SAMN04933504,,
Streptococcus salivarius,"oral cavity, infant (10 months of age)",2013.0,Brazil,GCF_001906965.1,SAMN04933466,,
Streptococcus salivarius,"oral cavity, infant (15 months of age)",2013.0,Brazil,GCF_001907005.1,SAMN04933563,,
Streptococcus salivarius,"oral cavity, infant (15 months of age)",2013.0,Brazil,GCF_001907045.1,SAMN04933505,,
Streptococcus salivarius,"oral cavity, infant (12 months age)",2013.0,Brazil,GCF_001907055.1,SAMN04934527,,
Streptococcus salivarius,"oral cavity, infant (15 months age)",2013.0,Brazil,GCF_001907065.1,SAMN04934535,,
Streptococcus salivarius,"oral cavity, infant (15 months age)",2013.0,Brazil,GCF_001907105.1,SAMN04934536,,
Streptococcus salivarius,"oral cavity, infant (13 months of age)",2013.0,Brazil,GCA_002093995.1,SAMN04942601,,
Streptococcus salivarius,,2013.0,Brazil,GCA_002094005.1,SAMN04942660,,
Streptococcus salivarius,"oral cavity, infant (15 months age)",2013.0,Brazil,GCA_002094035.1,SAMN04942658,,
Streptococcus salivarius,"oral cavity, infant (15 months age)",2013.0,Brazil,GCA_002094045.1,SAMN04942659,,
Mycobacteroides abscessus,skin,,Rio de Janeiro,GCA_000418575.1,SAMN02205188,RJ,Sudeste
Streptococcus mutans,Oral cavity,,Sao Paolo,GCA_008831325.1,SAMN12440940,SP,Sul
Streptococcus mutans,root canal,2018.0,Brazil,GCA_011765485.1,SAMN14397576,,
Streptococcus mutans,root canal,2018.0,Brazil,GCA_011765505.1,SAMN14397575,,
Streptococcus mutans,root canal,2015.0,Brazil,GCA_011765525.1,SAMN14397574,,
Streptococcus mutans,root canal,2015.0,Brazil,GCA_011765545.1,SAMN14397573,,
Streptococcus agalactiae,cerebrospinal fluid,1990.0,Rio de Janeiro,GCA_008692275.1,SAMN03981701,RJ,Sudeste
Streptococcus agalactiae,oropharynx,,Rio de Janeiro,GCF_001266635.1,SAMN03108598,RJ,Sudeste
Streptococcus agalactiae,nasopharynx,2023.0,Brazil,GCA_041021705.1,SAMN41581986,,
Streptococcus agalactiae,urine,2019.0,Paraiba,GCA_046529645.1,SAMN35312073,PB,Nordeste
Streptococcus agalactiae,Anal/vaginal swab,2021.0,Paraiba,GCA_046529655.1,SAMN35326541,PB,Nordeste
Streptococcus agalactiae,Anal/vaginal swab,2021.0,Paraiba,GCA_046529665.1,SAMN35326212,PB,Nordeste
Streptococcus agalactiae,urine,2021.0,Paraiba,GCA_046529675.1,SAMN35326332,PB,Nordeste
Streptococcus agalactiae,Anal/vaginal swab,2021.0,Paraiba,GCA_046529685.1,SAMN35326345,PB,Nordeste
Streptococcus agalactiae,Anal/vaginal swab,2021.0,Paraiba,GCA_046529705.1,SAMN35326562,PB,Nordeste
Streptococcus agalactiae,urine,2021.0,Brazil,GCA_047501565.1,SAMN39484065,,
Streptococcus agalactiae,urine,2021.0,Brazil,GCA_047501585.1,SAMN39484127,,
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047689635.1,SAMN46505688,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047689605.1,SAMN46505686,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047689695.1,SAMN46505682,RJ,Sudeste
Streptococcus agalactiae,semen,2019.0,Rio de Janeiro,GCA_047689745.1,SAMN46505670,RJ,Sudeste
Streptococcus agalactiae,semen,2019.0,Rio de Janeiro,GCA_047689755.1,SAMN46505678,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047689765.1,SAMN46505675,RJ,Sudeste
Streptococcus agalactiae,semen,2019.0,Rio de Janeiro,GCA_047689795.1,SAMN46505677,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047689835.1,SAMN46505680,RJ,Sudeste
Streptococcus agalactiae,semen,2018.0,Rio de Janeiro,GCA_047689885.1,SAMN46505666,RJ,Sudeste
Streptococcus agalactiae,semen,2019.0,Rio de Janeiro,GCA_047689855.1,SAMN46505671,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047689875.1,SAMN46505674,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047689905.1,SAMN46505685,RJ,Sudeste
Streptococcus agalactiae,semen,2019.0,Rio de Janeiro,GCA_047689935.1,SAMN46505673,RJ,Sudeste
Streptococcus agalactiae,semen,2019.0,Rio de Janeiro,GCA_047689955.1,SAMN46505672,RJ,Sudeste
Streptococcus agalactiae,semen,2019.0,Rio de Janeiro,GCA_047689965.1,SAMN46505669,RJ,Sudeste
Streptococcus agalactiae,semen,2019.0,Rio de Janeiro,GCA_047689975.1,SAMN46505668,RJ,Sudeste
Streptococcus agalactiae,semen,2019.0,Rio de Janeiro,GCA_047690005.1,SAMN46505667,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047690035.1,SAMN46505687,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047690085.1,SAMN46505684,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047690075.1,SAMN46505676,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047690055.1,SAMN46505681,RJ,Sudeste
