Species,Source,Date,Location,sample,BioSample,Estado,Região
Salmonella enterica,blood,2023.0,"Sao Paulo, Sao Paulo",GCA_038900395.1,SAMN40643660,SP,Sul
Salmonella enterica,Brain abscess,2005.0,Brazil,GCF_001588395.1,SAMN03941127,,
Salmonella enterica,feces,2003.0,Brazil,GCF_001588415.1,SAMN03941126,,
Salmonella enterica,feces,1999.0,Brazil,GCF_001588435.1,SAMN03941121,,
Salmonella enterica,feces,1998.0,Brazil,GCF_001588475.1,SAMN03941118,,
Salmonella enterica,feces,1997.0,Brazil,GCF_001588495.1,SAMN03941117,,
Salmonella enterica,feces,1991.0,Brazil,GCF_001588515.1,SAMN03941110,,
Salmonella enterica,feces,1988.0,Brazil,GCF_001588535.1,SAMN03941107,,
Salmonella enterica,feces,1986.0,Brazil,GCF_001588545.1,SAMN03941100,,
Salmonella enterica,feces,1984.0,Brazil,GCF_001588565.1,SAMN03941091,,
Salmonella enterica,feces,2010.0,Brazil,GCF_001594625.1,SAMN03941128,,
Salmonella enterica,Blood,2000.0,Brazil,GCF_001594685.1,SAMN03941123,,
Salmonella enterica,feces,2000.0,Brazil,GCF_001594695.1,SAMN03941122,,
Salmonella enterica,feces,1995.0,Brazil,GCF_001594775.1,SAMN03941114,,
Salmonella enterica,feces,1993.0,Brazil,GCF_001594795.1,SAMN03941113,,
Salmonella enterica,feces,1992.0,Brazil,GCF_001594825.1,SAMN03941112,,
Salmonella enterica,feces,1992.0,Brazil,GCF_001594845.1,SAMN03941111,,
Salmonella enterica,feces,1990.0,Brazil,GCF_001594855.1,SAMN03941109,,
Salmonella enterica,feces,1989.0,Brazil,GCF_001594875.1,SAMN03941108,,
Salmonella enterica,feces,1986.0,Brazil,GCF_001594905.1,SAMN03941106,,
Salmonella enterica,feces,1986.0,Brazil,GCF_001594915.1,SAMN03941105,,
Salmonella enterica,feces,1986.0,Brazil,GCF_001594935.1,SAMN03941104,,
Salmonella enterica,feces,1986.0,Brazil,GCF_001594955.1,SAMN03941103,,
Salmonella enterica,feces,1986.0,Brazil,GCF_001594985.1,SAMN03941102,,
Salmonella enterica,feces,1986.0,Brazil,GCF_001594995.1,SAMN03941101,,
Salmonella enterica,feces,1986.0,Brazil,GCF_001595015.1,SAMN03941099,,
Salmonella enterica,feces,1986.0,Brazil,GCF_001595035.1,SAMN03941098,,
Salmonella enterica,feces,1985.0,Brazil,GCF_001595065.1,SAMN03941097,,
Salmonella enterica,feces,1985.0,Brazil,GCF_001595075.1,SAMN03941096,,
Salmonella enterica,feces,1985.0,Brazil,GCF_001595105.1,SAMN03941095,,
Salmonella enterica,feces,1985.0,Brazil,GCF_001595115.1,SAMN03941094,,
Salmonella enterica,feces,1984.0,Brazil,GCF_001595145.1,SAMN03941093,,
